service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:Timetable:1600018-2018-08-13,1,0,1,0,0,0,0,20180813,20181220
ATB:Timetable:1600021-2018-08-13,1,0,1,1,1,0,0,20180813,20181222
ATB:Timetable:1600005-2018-08-13,0,0,0,0,0,1,0,20180813,20181223
ATB:Timetable:1600008-2018-08-13,0,0,0,1,1,0,0,20180813,20181222
ATB:Timetable:1600011-2018-08-13,0,1,0,0,0,0,0,20180813,20181219
ATB:Timetable:1600025-2018-08-13,1,1,1,0,0,0,0,20180813,20181220
ATB:Timetable:1600015-2018-08-13,0,1,1,1,1,0,0,20180813,20181222
ATB:Timetable:1600007-2018-06-25,0,0,0,1,0,0,0,20180625,20180810
ATB:Timetable:1600017-2018-06-25,1,0,1,1,1,0,0,20180625,20180811
ATB:Timetable:1600012-2018-08-13,0,1,0,0,1,0,0,20180813,20181222
ATB:Timetable:1600017-2018-08-13,1,0,0,1,1,0,0,20180813,20181222
ATB:Timetable:1600014-2018-06-25,1,0,0,1,1,0,0,20180625,20180811
ATB:Timetable:1600009-2018-06-25,0,0,1,0,0,0,0,20180625,20180809
ATB:Timetable:1600007-2018-08-13,0,0,0,1,0,0,0,20180813,20181221
ATB:Timetable:1600004-2018-06-25,0,0,0,0,0,0,1,20180625,20180813
ATB:Timetable:1600020-2018-06-25,1,1,1,1,0,0,0,20180625,20180810
ATB:Timetable:1600008-2018-06-25,0,0,0,1,1,0,0,20180625,20180811
ATB:Timetable:1600016-2018-08-13,1,0,0,0,0,0,0,20180813,20181218
ATB:Timetable:1600026-2018-08-13,1,1,1,0,1,0,0,20180813,20181222
ATB:Timetable:1600018-2018-06-25,1,1,1,0,0,0,0,20180625,20180809
ATB:Timetable:1600013-2018-08-13,0,1,0,1,1,0,0,20180813,20181222
ATB:Timetable:1600005-2018-06-25,0,0,0,0,0,1,0,20180625,20180812
ATB:Timetable:1600006-2018-08-13,0,0,0,0,1,0,0,20180813,20181222
ATB:Timetable:1600011-2018-06-25,0,1,0,1,1,0,0,20180625,20180811
ATB:Timetable:1600023-2018-08-13,1,1,0,0,1,0,0,20180813,20181222
ATB:Timetable:1600015-2018-06-25,1,0,1,0,0,0,0,20180625,20180809
ATB:Timetable:1600021-2018-06-25,1,1,1,1,1,0,0,20180625,20180811
ATB:Timetable:1600019-2018-06-25,1,1,1,0,1,0,0,20180625,20180811
ATB:Timetable:1600027-2018-08-13,1,1,1,1,0,0,0,20180813,20181221
ATB:Timetable:1600009-2018-08-13,0,0,1,0,0,0,0,20180813,20181220
ATB:Timetable:1600019-2018-08-13,1,0,1,0,1,0,0,20180813,20181222
ATB:Timetable:1600020-2018-08-13,1,0,1,1,0,0,0,20180813,20181221
ATB:Timetable:1600006-2018-06-25,0,0,0,0,1,0,0,20180625,20180811
ATB:Timetable:1600012-2018-06-25,0,1,1,1,1,0,0,20180625,20180811
ATB:Timetable:1600004-2018-08-13,0,0,0,0,0,0,1,20180813,20181224
ATB:Timetable:1600014-2018-08-13,0,1,1,1,0,0,0,20180813,20181221
ATB:Timetable:1600010-2018-08-13,0,0,1,0,1,0,0,20180813,20181222
ATB:Timetable:1600024-2018-08-13,1,1,0,1,1,0,0,20180813,20181222
ATB:Timetable:1600016-2018-06-25,1,0,1,0,1,0,0,20180625,20180811
ATB:Timetable:1600028-2018-08-13,1,1,1,1,1,0,0,20180813,20181222
