route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
ATB:Line:0090-2018-08-13,ATB:Authority:160,90,Lundåsen- Lade via Omkj.v,,704,,,
ATB:Line:0093-2018-08-13,ATB:Authority:160,93,Vikåsen/Ranh.- Lade- Sandmoen,,704,,,
ATB:Line:0094-2018-08-13,ATB:Authority:160,94,Valentinlyst- Sluppen- Lade,,704,,,
ATB:Line:0010-2018-08-13,ATB:Authority:160,10,K1- Skistua,,704,,,
ATB:Line:0098-2018-08-13,ATB:Authority:160,98,D2- Nortura,,704,,,
ATB:Line:0092-2018-08-13,ATB:Authority:160,92,Flatåsen- Heimdal/Tiller- D2,,704,,,
ATB:Line:0006-2018-08-13,ATB:Authority:160,6,Værestrøa- M2- Flatåsen,,704,,,
ATB:Line:0490-2018-08-13,ATB:Authority:160,490,Osen - Sjøåsen,,704,,,
ATB:Line:0091-2018-08-13,ATB:Authority:160,91,Lundåsen- K2- Sandmoen,,704,,,
ATB:Line:0004-2018-08-13,ATB:Authority:160,4,Lade- M2- Heimdal,,704,,,
ATB:Line:0521-2018-08-13,ATB:Authority:160,521,Fillan - Fjellværøya - Fillan,,704,,,
ATB:Line:0007-2018-08-13,ATB:Authority:160,7,Reppe/Vikåsen- M2- Romolslia,,704,,,
ATB:Line:0524-2018-08-13,ATB:Authority:160,524,Sistranda - Gurvikdal - Nordsk,,704,,,
ATB:Line:0088-2018-08-13,ATB:Authority:160,88,Sandmoen- Ila via St. Olav,,704,,,
ATB:Line:0001-2018-08-13,ATB:Authority:160,1,St. Olavs gate - Lian,,704,,,
ATB:Line:0005-2018-08-13,ATB:Authority:160,5,Dragvoll- K1- Buenget,,704,,,
ATB:Line:0003-2018-08-13,ATB:Authority:160,3,Lade- M2- Sjetnmarka,,704,,,
ATB:Line:0008-2018-08-13,ATB:Authority:160,8,Risvollan- K1- Stavset,,704,,,
ATB:Line:0800-2018-08-13,ATB:Authority:160,800,Trondheim - Brekstad - Kristia,,1004,,,
ATB:Line:0089-2018-08-13,ATB:Authority:160,89,Skytterbanen- K1- St. Olav,,704,,,
ATB:Line:0805-2018-08-13,ATB:Authority:160,805,Røros - Brekken,,1004,,,
ATB:Line:4101-2018-08-13,ATB:Authority:160,4101,Nattbuss Trondheim - Orkanger,,704,,,
ATB:Line:0017-2018-08-13,ATB:Authority:160,17,Dragvoll- Hallset via St. Olav,,704,,,
ATB:Line:0888-2018-08-13,ATB:Authority:160,888,Bergheim/Voll studentby- Stein,,704,,,
ATB:Line:0009-2018-08-13,ATB:Authority:160,9,Dragvoll- M2- Kattem/Lundåsen,,704,,,
ATB:Line:0535-2018-08-13,ATB:Authority:160,535,Selbu - Tydal,,704,,,
ATB:Line:0777-2018-08-13,ATB:Authority:160,777,Matebuss Reppe,,704,,,
ATB:Line:0138-2018-08-13,ATB:Authority:160,138,Nattbuss Stjørdal- Trondheim-,,704,,,
ATB:Line:0018-2018-08-13,ATB:Authority:160,18,Vikåsen- M1- Havstad,,704,,,
ATB:Line:0136-2018-08-13,ATB:Authority:160,136,Nattbuss Valentinlyst/Jakobsli,,704,,,
ATB:Line:0016-2018-08-13,ATB:Authority:160,16,Sandmoen- Omkj.v- Ranheim,,704,,,
ATB:Line:0810-2018-08-13,ATB:Authority:160,810,Trondheim - Vanvikan,,1004,,,
ATB:Line:0015-2018-08-13,ATB:Authority:160,15,Migosenteret- Pirbadet- Lade,,704,,,
ATB:Line:0770-2018-08-13,ATB:Authority:160,770,Stjørdal - Smedhaugen,,704,,,
ATB:Line:0019-2018-08-13,ATB:Authority:160,19,Pirbadet- P1- Byåsen- Sandmoen,,704,,,
