stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:StopPlace:43687,,Persaunet leir,,63.431545,10.441777,,,1,,2,,,700
NSR:StopPlace:42355,,Slakthuset,,63.38525,10.407559,,,1,,2,,,700
NSR:StopPlace:42354,,Hallfred Høyems veg,,63.41975,10.467439,,,1,,2,,,700
NSR:StopPlace:43201,,Stamnan,,62.849155,9.858304,,,1,,2,,,700
NSR:StopPlace:42352,,Skåveien,,63.115818,9.699876,,,1,,2,,,700
NSR:StopPlace:43683,,Esp østre,,63.39108,10.126034,,,1,,2,,,700
NSR:StopPlace:43682,,Peder Myhres veg,,63.425083,10.533758,,,1,,2,,,700
NSR:StopPlace:42351,,Hallansvingen,,63.314262,10.416537,,,1,,2,,,700
NSR:StopPlace:43681,,Bergheim,,63.410175,10.455694,,,1,,2,,,700
NSR:StopPlace:43680,,Esp meieri,,63.32799,10.323592,,,1,,2,,,700
NSR:StopPlace:43209,,Klefstadhaugen,,63.433514,10.183368,,,1,,2,,,700
NSR:StopPlace:43207,,Nordsetra,,63.83216,10.229873,,,1,,2,,,700
NSR:StopPlace:43206,,Klefstadbukta,,63.43865,10.171051,,,1,,2,,,700
NSR:StopPlace:43689,,Bergheim snuplass,,63.408836,10.456667,,,1,,2,,,700
NSR:StopPlace:43204,,Klefstadbekken,,63.4343,10.155801,,,1,,2,,,700
NSR:StopPlace:43688,,Esplykkja,,63.33471,10.3326,,,1,,2,,,700
NSR:StopPlace:42357,,Hallgotto,,63.240997,11.055421,,,1,,2,,,700
NSR:StopPlace:43698,,Perstu,,63.362934,10.192611,,,1,,2,,,700
NSR:StopPlace:42367,,Løkkjbekken,,62.652626,9.865346,,,1,,2,,,700
NSR:StopPlace:43697,,Estenstadvegen,,63.405613,10.464795,,,1,,2,,,700
NSR:StopPlace:42366,,Hallset,,62.612896,9.750528,,,1,,2,,,700
NSR:StopPlace:43696,,Bergsli gate,,63.427414,10.367684,,,1,,2,,,900
NSR:StopPlace:42365,,Vårum,,63.499554,10.080061,,,1,,2,,,700
NSR:StopPlace:43212,,Stav,,63.424034,10.728234,,,1,,2,,,700
NSR:StopPlace:43695,,Espåsen,,63.09068,10.055261,,,1,,2,,,700
NSR:StopPlace:43693,,Espås,,63.345047,10.542802,,,1,,2,,,700
NSR:StopPlace:42362,,Vårhus,,62.94047,11.086304,,,1,,2,,,700
NSR:StopPlace:43691,,Espnes,,63.7189,8.59649,,,1,,2,,,700
NSR:StopPlace:42360,,Hallguttu,,63.243702,9.77093,,,1,,2,,,700
NSR:StopPlace:43690,,Bergli,,63.714176,8.591275,,,1,,2,,,700
NSR:StopPlace:43219,,Nordsetrønningen,,63.33928,10.461989,,,1,,2,,,700
NSR:StopPlace:43216,,Kleivplassen,,63.354008,10.212738,,,1,,2,,,700
NSR:StopPlace:43215,,Stav øvre,,63.323906,10.295621,,,1,,2,,,700
NSR:StopPlace:43699,,Bergslia,,63.053432,9.702622,,,1,,2,,,700
NSR:StopPlace:43225,,Stavset,,63.385303,10.342889,,,1,,2,,,700
NSR:StopPlace:43224,,Nordskag,,63.705757,8.563364,,,1,,2,,,700
NSR:StopPlace:42377,,Halstein gård,,63.368656,10.403186,,,1,,2,,,700
NSR:StopPlace:44558,,Voldnesset,,63.442924,11.631504,,,1,,2,,,700
NSR:StopPlace:42376,,Være Ranheimsvegen,,63.430294,10.564271,,,1,,2,,,700
NSR:StopPlace:43223,,Klett Møbel,,63.32572,10.319574,,,1,,2,,,700
