route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
ATB:Line:190214093566698_5903_190214093487476,ATB:Authority:1,5903,Åfjord- Tårnes/Lauvøy,,712,,,
ATB:Line:190214093566700_5905_190214093487476,ATB:Authority:1,5905,Bessaker - Brandsfjord skole -,,712,,,
ATB:Line:190214093566702_5992_190214093487476,ATB:Authority:1,5992,Strand - Åsegg,,712,,,
ATB:Line:190214093566704_7702_190214093487476,ATB:Authority:1,7702,Langstein - Skatval - Halsen,,704,,,
ATB:Line:190214093566673_5554_190214093487476,ATB:Authority:1,5554,Vallersund - Vasøy - Oksvoll - Botngård,,712,,,
ATB:Line:190214093566675_5556_190214093487476,ATB:Authority:1,5556,Sandstad - Nes - Botngård,,712,,,
ATB:Line:190214093566677_5558_190214093487476,ATB:Authority:1,5558,Uthaug - Hårberg - Botngård,,712,,,
ATB:Line:190214093566696_5901_190214093487476,ATB:Authority:1,5901,Stjern - Åfjord - Åset skole,,712,,,
ATB:Line:190214093566655_5404_190214093487476,ATB:Authority:1,5404,Haltdalen - Ålen - Røros,,704,,,
ATB:Line:190214093566657_5471_190214093487476,ATB:Authority:1,5471,Støren - Singsås - Almås/Wolden,,704,,,
ATB:Line:190214093566660_5474_190214093487476,ATB:Authority:1,5474,Frøsetfeltet - Støren Barneskole,,704,,,
ATB:Line:190214093566670_5523_190214093487476,ATB:Authority:1,5523,Selnes/Årlot/Åsly skole - Fevå,,712,,,
ATB:Line:190214093566706_7705_190214093487476,ATB:Authority:1,7705,Halsen ungdomsskole - Skatval,,704,,,
ATB:Line:190214093566708_7707_190214093487476,ATB:Authority:1,7707,Stjørdal - Geving - Lerbakken,,704,,,
ATB:Line:190214093566711_7710_190214093487476,ATB:Authority:1,7710,Sonli - Hegra - Halsen,,704,,,
ATB:Line:190321085141220_7722_190214093487476,ATB:Authority:1,7722,Kluksdal - Meråker,,704,,,
ATB:Line:190214093566684_5607_190214093487476,ATB:Authority:1,5607,Berkåk - Ulsberg - Gisnadalen,,712,,,
ATB:Line:190214093566689_5704_190214093487476,ATB:Authority:1,5704,Kyrksæterøra - Storoddan,,704,,,
ATB:Line:190214093566691_5707_190214093487476,ATB:Authority:1,5707,Vågan/Kongensvoll/Moltun - Kro,,704,,,
ATB:Line:190214093566693_5802_190214093487476,ATB:Authority:1,5802,Storlidalen - Lønset - Midtbygda - Oppdal,,712,,,
ATB:Line:190214093566672_5552_190214093487476,ATB:Authority:1,5552,Brekstad - Opphaug - Botngård,,712,,,
