from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839779_86_200424196781518,ATB:ServiceJourney:42_200424196845940_43_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839781_90_200424196781518,ATB:ServiceJourney:42_200424196845941_45_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839783_94_200424196781518,ATB:ServiceJourney:42_200424196845942_47_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839860_6030_200424196781518,ATB:ServiceJourney:42_200424196845990_6021_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839977_7084_200424196781518,ATB:ServiceJourney:42_200424196846073_7077_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839862_6034_200424196781518,ATB:ServiceJourney:42_200424196845991_6023_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839975_7080_200424196781518,ATB:ServiceJourney:42_200424196846071_7073_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839864_6038_200424196781518,ATB:ServiceJourney:42_200424196845992_6025_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839852_6014_200424196781518,ATB:ServiceJourney:42_200424196845986_6013_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839854_6018_200424196781518,ATB:ServiceJourney:42_200424196845987_6015_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839979_7088_200424196781518,ATB:ServiceJourney:42_200424196846075_7081_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839856_6022_200424196781518,ATB:ServiceJourney:42_200424196845988_6017_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839984_7098_200424196781518,ATB:ServiceJourney:42_200424196846080_7091_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839858_6026_200424196781518,ATB:ServiceJourney:42_200424196845989_6019_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839981_7092_200424196781518,ATB:ServiceJourney:42_200424196846077_7085_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839980_7090_200424196781518,ATB:ServiceJourney:42_200424196846076_7083_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839973_7076_200424196781518,ATB:ServiceJourney:42_200424196846069_7069_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839972_7074_200424196781518,ATB:ServiceJourney:42_200424196846068_7067_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839968_7066_200424196781518,ATB:ServiceJourney:42_200424196846064_7059_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839974_7078_200424196781518,ATB:ServiceJourney:42_200424196846070_7071_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839978_7086_200424196781518,ATB:ServiceJourney:42_200424196846074_7079_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839890_6090_200424196781518,ATB:ServiceJourney:42_200424196846005_6051_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839827_182_200424196781518,ATB:ServiceJourney:42_200424196845964_91_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839829_186_200424196781518,ATB:ServiceJourney:42_200424196845965_93_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839831_190_200424196781518,ATB:ServiceJourney:42_200424196845966_95_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839966_7062_200424196781518,ATB:ServiceJourney:42_200424196846062_7055_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839872_6054_200424196781518,ATB:ServiceJourney:42_200424196845996_6033_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839874_6058_200424196781518,ATB:ServiceJourney:42_200424196845997_6035_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839876_6062_200424196781518,ATB:ServiceJourney:42_200424196845998_6037_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839970_7070_200424196781518,ATB:ServiceJourney:42_200424196846066_7063_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839866_6042_200424196781518,ATB:ServiceJourney:42_200424196845993_6027_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839969_7068_200424196781518,ATB:ServiceJourney:42_200424196846065_7061_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839868_6046_200424196781518,ATB:ServiceJourney:42_200424196845994_6029_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839965_7060_200424196781518,ATB:ServiceJourney:42_200424196846061_7053_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839870_6050_200424196781518,ATB:ServiceJourney:42_200424196845995_6031_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839971_7072_200424196781518,ATB:ServiceJourney:42_200424196846067_7065_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839961_7052_200424196781518,ATB:ServiceJourney:42_200424196846057_7045_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839960_7050_200424196781518,ATB:ServiceJourney:42_200424196846056_7043_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839963_7056_200424196781518,ATB:ServiceJourney:42_200424196846059_7049_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839962_7054_200424196781518,ATB:ServiceJourney:42_200424196846058_7047_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839959_7048_200424196781518,ATB:ServiceJourney:42_200424196846055_7041_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839967_7064_200424196781518,ATB:ServiceJourney:42_200424196846063_7057_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839820_168_200424196781518,ATB:ServiceJourney:42_200424196845961_85_200424196781518,1,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_200424196839777_82_200424196781518,ATB:ServiceJourney:42_200424196845939_41_200424196781518,1,
