service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:DayType:1111111_1_191212110592096,1,1,1,1,1,0,0,20200620,20200809
ATB:DayType:1111111_36_191212112221115,1,1,1,1,1,0,0,20200620,20200809
ATB:DayType:0000010_13_191212112221115,0,0,0,0,0,1,0,20200621,20200814
ATB:DayType:0010100_2_191212112221115,0,0,1,0,1,0,0,20200620,20200811
ATB:DayType:1111111_4_191212110592096,0,0,0,0,0,1,0,20200621,20200814
ATB:DayType:0000010_28_191212110592096,0,0,0,0,0,1,0,20200621,20200814
ATB:DayType:0000000_30_191212110592096,1,1,1,1,1,0,0,20200620,20200809
ATB:DayType:0100000_35_191212110592096,0,1,0,0,0,0,0,20200617,20200810
ATB:DayType:1011000_8_191212112221115,1,0,1,1,0,0,0,20200619,20200809
ATB:DayType:1111111_29_191212112221115,0,0,0,0,0,1,0,20200621,20200814
ATB:DayType:0100100_4_191212112221115,0,1,0,0,1,0,0,20200620,20200810
ATB:DayType:1101011_9_191212112221115,1,1,0,1,0,0,0,20200619,20200809
ATB:DayType:1111111_26_191212112221115,1,1,1,1,1,0,0,20200620,20200809
ATB:DayType:0100100_12_191212110592096,0,1,0,0,1,0,0,20200620,20200810
ATB:DayType:1111111_30_191212112221115,0,0,0,0,0,0,1,20200622,20200808
ATB:DayType:1001011_7_191212112221115,1,0,0,1,0,0,0,20200619,20200809
ATB:DayType:1111100_25_191212112221115,1,1,1,1,1,0,0,20200620,20200809
ATB:DayType:0101000_19_191212112221115,0,1,0,1,0,0,0,20200619,20200810
ATB:DayType:0000000_27_191212112221115,0,0,0,0,0,1,0,20200621,20200814
ATB:DayType:0000100_31_191212110592096,0,0,0,0,1,0,0,20200620,20200813
ATB:DayType:0101111_37_191212110592096,0,1,0,1,1,0,0,20200620,20200810
ATB:DayType:1010000_22_191212112221115,1,0,1,0,0,0,0,20200618,20200809
ATB:DayType:1111111_33_191212112221115,0,0,0,0,0,0,1,20200622,20200808
