agency_id,route_id,route_short_name,route_long_name,route_type
ATB:Authority:2,ATB:Line:2_1,1,Ranheim - Strindheim - sentrum - Tiller - Heimdal - Kattem,704
ATB:Authority:2,ATB:Line:2_10,10,Sæterbakken- Strindheim- Sentrum- Ratesvingen,704
ATB:Authority:2,ATB:Line:2_101,101,Nattbuss Byåsen/Flatåsen,705
ATB:Authority:2,ATB:Line:2_102,102,Nattbuss Valentinlyst/Jakobsli,705
ATB:Authority:2,ATB:Line:2_103,103,Nattbuss Kroppanmarka/Sjetnema,705
ATB:Authority:2,ATB:Line:2_104,104,Nattbuss Kolstad/Heimstad,705
ATB:Authority:2,ATB:Line:2_105,105,Nattbuss Buenget,705
ATB:Authority:2,ATB:Line:2_106,106,Nattbuss Lade/Værestrøa,705
ATB:Authority:2,ATB:Line:2_107,107,Nattbuss Reppe/Vikåsen/Fortuna,705
ATB:Authority:2,ATB:Line:2_108,108,Nattbuss Stavset,705
ATB:Authority:2,ATB:Line:2_109,109,Nattbuss Bjørndalen/Kattem/Lun,705
ATB:Authority:2,ATB:Line:2_11,11,Blakli- Sentrum- Stavset,704
ATB:Authority:2,ATB:Line:2_110,110,Nattbuss Trondheim- Melhus,705
ATB:Authority:2,ATB:Line:2_111,111,Nattbuss Tiller,705
ATB:Authority:2,ATB:Line:2_112,112,Nattbuss Nidarvoll/Klæbu,705
ATB:Authority:2,ATB:Line:2_113,113,Nattbuss Moholt/Brøset,705
ATB:Authority:2,ATB:Line:2_114,114,Nattbuss Sentrum - Spongdal,705
ATB:Authority:2,ATB:Line:2_115,115,Nattbuss Othilienborg/Risvolla,705
ATB:Authority:2,ATB:Line:2_116,116,Trondheim- Hommelvik- Stjørdal,705
ATB:Authority:2,ATB:Line:2_12,12,Dragvoll - Strindheim - sentrum - Marienborg,704
ATB:Authority:2,ATB:Line:2_13,13,Østmarka- Strindheim- Lerkendal- Havstad,704
ATB:Authority:2,ATB:Line:2_14,14,Lerkendal-Brundalen-Strindheim,704
ATB:Authority:2,ATB:Line:2_15,15,Østmarka- Strindheim- E6- Nidarvoll- Tiller- Torgård,704
ATB:Authority:2,ATB:Line:2_16,16,Flatåsen- Heimdal- Torgård,704
ATB:Authority:2,ATB:Line:2_19,19,Lerkendal - Sluppen / Postterminalen,704
ATB:Authority:2,ATB:Line:2_2,2,Strindheim- Lade- sentrum- Sau,704
ATB:Authority:2,ATB:Line:2_20,20,Grillstad - Strindheim - Ladehammeren- Sentrum - Romolslia,704
ATB:Authority:2,ATB:Line:2_201,201,Ranheim- Være- Vikåsen/Markapl,712
ATB:Authority:2,ATB:Line:2_202,202,Olderdalen - Engstrømbakken,712
ATB:Authority:2,ATB:Line:2_203,203,Muruvik- Hommelvik,712
ATB:Authority:2,ATB:Line:2_204,204,Hommelvik skole- Sneisen,712
ATB:Authority:2,ATB:Line:2_205,205,Storsand/Smiskaret- Hommelvik-,712
ATB:Authority:2,ATB:Line:2_206,206,Hommelvik- Sveberg,712
ATB:Authority:2,ATB:Line:2_207,207,Vikhammer skole,712
ATB:Authority:2,ATB:Line:2_208,208,Rye- Flakk- Rye skole / Spongd,712
ATB:Authority:2,ATB:Line:2_209,209,Spongdal- Hangeråsen- Rye- Spo,712
ATB:Authority:2,ATB:Line:2_21,21,Brattøra- Sentrum- Trolla,704
ATB:Authority:2,ATB:Line:2_210,210,Spongdal- Berg- Megarden- Spon,712
ATB:Authority:2,ATB:Line:2_211,211,Værestrøa- Vikåsen- Brundalen,712
ATB:Authority:2,ATB:Line:2_212,212,Rye skole- Flakk/Hangeråsen- R,712
ATB:Authority:2,ATB:Line:2_214,214,Klæbu- Bjørkli- Ler,712
ATB:Authority:2,ATB:Line:2_215,215,Lauglo/Fjøsvollan- Leinum- Nyp,712
ATB:Authority:2,ATB:Line:2_216,216,City Syd/Heimdal- Skjetlein,712
ATB:Authority:2,ATB:Line:2_217,217,Flakk- Lund,712
ATB:Authority:2,ATB:Line:2_22,22,Vestlia- Othilienborg- Sentrum,704
ATB:Authority:2,ATB:Line:2_23,23,Brattøra - St. Olavs- Hallset - Flatåsen - Sandmoen,704
ATB:Authority:2,ATB:Line:2_24,24,City Syd- Kroppanmarka- Lerkendal,704
ATB:Authority:2,ATB:Line:2_25,25,Vikåsen- Strindheim- Singsaker,704
