stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:100065,Kvammen,63.029176,9.105756,,,NSR:StopPlace:58143,,700,
NSR:Quay:100322,Brekstad ferjekai,63.686463,9.667577,,,NSR:StopPlace:58691,,1000,
NSR:Quay:100415,Flakk ferjekai,63.451164,10.201632,,,NSR:StopPlace:58659,,1000,
NSR:Quay:100844,Aure,63.268296,8.531815,,,NSR:StopPlace:40461,,700,
NSR:Quay:101366,Moanes,63.466650,11.055481,,,NSR:StopPlace:44730,,700,
NSR:Quay:101521,Olav Tryggvasons gate,63.433292,10.397798,,,NSR:StopPlace:43460,,700,
NSR:Quay:101526,Gluggbekken,63.463053,11.027001,,,NSR:StopPlace:59505,,700,
NSR:Quay:101532,Vold,63.462860,11.021921,,,NSR:StopPlace:59508,,700,
NSR:Quay:101539,Tråsåvika Camping,63.346240,9.961609,,,NSR:StopPlace:59514,,700,
NSR:Quay:101547,Helgesvegen,64.027904,11.544807,,,NSR:StopPlace:59523,,700,
NSR:Quay:101549,Sagvollen,63.834632,11.914587,,,NSR:StopPlace:59525,,700,
NSR:Quay:101567,Lund ferjekai,64.768257,11.622629,,,NSR:StopPlace:59536,,700,
NSR:Quay:101568,Lund ferjekai,64.768124,11.623275,,,NSR:StopPlace:59536,,700,
NSR:Quay:101570,Gottås,63.671391,11.139391,,,NSR:StopPlace:59539,,700,
NSR:Quay:101757,Sommarhus,64.593658,11.687202,,,NSR:StopPlace:59739,,700,
NSR:Quay:101852,Klettkrysset,63.323516,10.300629,Ligger i retning mot Orkanger,,NSR:StopPlace:59821,,700,
NSR:Quay:101853,Klettkrysset,63.323193,10.301244,Ligger i E39 retning fra Orkanger mot Trondheim,,NSR:StopPlace:59821,,700,
NSR:Quay:101854,Klettkrysset,63.322463,10.302161,Ligger i retning fra Melhus mot Trondheim,,NSR:StopPlace:59821,,700,
NSR:Quay:101855,Klettkrysset,63.322136,10.301544,Ligger i retning mot Melhus,,NSR:StopPlace:59821,,700,
NSR:Quay:101913,Beitstad skole,64.110150,11.388872,,,NSR:StopPlace:59862,,700,
NSR:Quay:101914,Borganvegen,64.186437,11.863118,,,NSR:StopPlace:59863,,700,
NSR:Quay:101915,Bruveitakorsen,64.167172,11.814986,,,NSR:StopPlace:59864,,700,
NSR:Quay:101919,Dyrstad,63.896161,11.521708,,,NSR:StopPlace:59868,,700,
NSR:Quay:101922,Fossli,64.005308,11.564706,,,NSR:StopPlace:59870,,700,
NSR:Quay:101929,Helgesvegen,64.028941,11.546253,,,NSR:StopPlace:59523,,700,
NSR:Quay:101930,Himmelbrua,63.936621,11.418926,,,NSR:StopPlace:59876,,700,
NSR:Quay:101931,Kjerkol,64.183754,11.897504,,,NSR:StopPlace:59877,,700,
NSR:Quay:101937,Kvam skole,64.139595,11.739149,,,NSR:StopPlace:59882,,700,
NSR:Quay:101939,Lund,63.963639,11.412925,,,NSR:StopPlace:45468,,700,
