from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:75699,ATB:ServiceJourney:5400_220103105903557_8,NSR:Quay:75699,ATB:ServiceJourney:5402_220103105892801_4,1
NSR:Quay:71941,ATB:ServiceJourney:535_220103105903379_3,NSR:Quay:71941,ATB:ServiceJourney:430_220103105896555_11,1
NSR:Quay:71209,ATB:ServiceJourney:2_220111130701451_7030,NSR:Quay:71209,ATB:ServiceJourney:40_210927153338386_7021,1
NSR:Quay:71941,ATB:ServiceJourney:535_220103105899404_6001,NSR:Quay:71941,ATB:ServiceJourney:430_220125140238744_6003,1
NSR:Quay:71209,ATB:ServiceJourney:2_220111130701453_7032,NSR:Quay:71209,ATB:ServiceJourney:40_211220096146308_7023,1
NSR:Quay:71941,ATB:ServiceJourney:5305_220103105900841_4,NSR:Quay:71941,ATB:ServiceJourney:430_220103105896555_11,1
NSR:Quay:71209,ATB:ServiceJourney:2_220111130701447_7026,NSR:Quay:71209,ATB:ServiceJourney:40_210927153338383_7017,1
NSR:Quay:71209,ATB:ServiceJourney:2_220111130701449_7028,NSR:Quay:71209,ATB:ServiceJourney:40_211220096146305_7019,1
NSR:Quay:74138,ATB:ServiceJourney:5210_220103105892746_1,NSR:Quay:74138,ATB:ServiceJourney:5211_220103105892336_1,1
NSR:Quay:74453,ATB:ServiceJourney:5400_220103105892789_10,NSR:Quay:74453,ATB:ServiceJourney:5402_220103105892802_6,1
NSR:Quay:75699,ATB:ServiceJourney:5400_220103105892788_6,NSR:Quay:75699,ATB:ServiceJourney:5402_220103105892801_4,1
NSR:Quay:71209,ATB:ServiceJourney:2_220111130701455_7034,NSR:Quay:71209,ATB:ServiceJourney:40_210927153338389_7025,1
NSR:Quay:75699,ATB:ServiceJourney:5400_220103105892786_4,NSR:Quay:75699,ATB:ServiceJourney:5402_220103105892800_2,1
NSR:Quay:71209,ATB:ServiceJourney:2_220111130701457_7036,NSR:Quay:71209,ATB:ServiceJourney:40_211220096146311_7027,1
NSR:Quay:71366,ATB:ServiceJourney:535_220103105899400_1,NSR:Quay:71366,ATB:ServiceJourney:535_220103105903379_3,1
NSR:Quay:73951,ATB:ServiceJourney:5403_220120179895546_2,NSR:Quay:73951,ATB:ServiceJourney:543_220120179628934_8,1
NSR:Quay:74455,ATB:ServiceJourney:5402_220103105892803_1,NSR:Quay:74455,ATB:ServiceJourney:5400_220103105892790_9,1
NSR:Quay:72599,ATB:ServiceJourney:5210_220103105892746_1,NSR:Quay:72599,ATB:ServiceJourney:420_220103105891795_5,1
NSR:Quay:103283,ATB:ServiceJourney:5209_220103105903647_30,NSR:Quay:103283,ATB:ServiceJourney:5707_220103105901176_1,1
NSR:Quay:71209,ATB:ServiceJourney:2_211220096140398_7068,NSR:Quay:71209,ATB:ServiceJourney:40_220112182140085_7059,1
NSR:Quay:74841,ATB:ServiceJourney:5207_220103105892699_8,NSR:Quay:74841,ATB:ServiceJourney:5207_220103105892701_6,1
NSR:Quay:71209,ATB:ServiceJourney:2_211220096150949_7010,NSR:Quay:71209,ATB:ServiceJourney:40_210927153338371_7001,1
NSR:Quay:74841,ATB:ServiceJourney:5207_220103105892699_8,NSR:Quay:74841,ATB:ServiceJourney:5207_220103105892700_2,1
