route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
ATB:Line:2_101,ATB:ServiceJourney:101_210927153340718_6002,ATB:DayType:916,Flatåsen via Byåsen,1,
ATB:Line:2_101,ATB:ServiceJourney:101_211028073285825_6004,ATB:DayType:741,Flatåsen via Byåsen,1,
ATB:Line:2_101,ATB:ServiceJourney:101_211028073285827_6008,ATB:DayType:741,Flatåsen via Byåsen,1,
ATB:Line:2_101,ATB:ServiceJourney:101_220404083846969_6006,ATB:DayType:916,Flatåsen via Byåsen,1,
ATB:Line:2_101,ATB:ServiceJourney:101_220404083846995_6010,ATB:DayType:916,Flatåsen via Byåsen,1,
ATB:Line:2_102,ATB:ServiceJourney:102_210927153340733_6002,ATB:DayType:811,Jakobsli via Valentinlyst,1,
ATB:Line:2_102,ATB:ServiceJourney:102_210927153340735_6006,ATB:DayType:811,Jakobsli via Valentinlyst,1,
ATB:Line:2_102,ATB:ServiceJourney:102_210927153340737_6010,ATB:DayType:811,Jakobsli via Valentinlyst,1,
ATB:Line:2_102,ATB:ServiceJourney:102_211028073285834_6002,ATB:DayType:712,Jakobsli via Valentinlyst,1,
ATB:Line:2_102,ATB:ServiceJourney:102_211028073285836_6006,ATB:DayType:712,Jakobsli via Valentinlyst,1,
ATB:Line:2_102,ATB:ServiceJourney:102_211028073285838_6010,ATB:DayType:712,Jakobsli via Valentinlyst,1,
ATB:Line:2_102,ATB:ServiceJourney:102_220404083973857_6004,ATB:DayType:741,Jakobsli via Valentinlyst,1,
ATB:Line:2_102,ATB:ServiceJourney:102_220404083973878_6008,ATB:DayType:741,Jakobsli via Valentinlyst,1,
ATB:Line:2_103,ATB:ServiceJourney:103_210927153340743_6002,ATB:DayType:916,Sjetnmarka via Kroppanmarka,1,
ATB:Line:2_103,ATB:ServiceJourney:103_210927153340745_6006,ATB:DayType:916,Sjetnmarka via Kroppanmarka,1,
