Statistics from busstuc.idi.ntnu.no
DATE SMS TOTAL
2012-12-18 0 155
2012-12-19 0 428
2012-12-20 0 439
2012-12-21 0 356
2012-12-22 0 291
2012-12-23 0 196
2012-12-24 0 17 


Statistics from furu.idi.ntnu.no (~tagore/busstuc/) not frequently updated!

DATE           SMS  TOTAL
2012-1-3       0    201
2012-1-4       0    301
2012-1-5       0    276
2012-1-6       0    347
2012-1-7       0    333
2012-1-8       0    245
2012-1-9       0    568
2012-1-10       0    515
2012-1-11       0    621
2012-1-12       0    601
2012-1-13       0    611
2012-1-14       0    532
2012-1-15       0    372
2012-1-16       0    552
2012-1-17       0    653
2012-1-18       0    536
2012-1-19       0    509
2012-1-20       0    615
2012-1-21       0    513
2012-1-22       0    328
2012-1-23       0    522
2012-1-24       0    564
2012-1-25       0    532
2012-1-26       0    550
2012-1-27       0    586
2012-1-28       0    550
2012-1-29       0    377
2012-1-30       0    460
2012-1-31       0    500
2012-2-1       0    541
2012-2-2       0    531
2012-2-3       0    531
2012-2-4       0    466
2012-2-5       0    296
2012-2-6       0    463
2012-2-7       0    481
2012-2-8       0    437
2012-2-9       0    483
2012-2-10       0    482
2012-2-11       0    429
2012-2-12       0    300
2012-2-13       0    477
2012-2-14       0    481
2012-2-15       0    532
2012-2-16       0    449
2012-2-17       0    446
2012-2-18       0    437
2012-2-19       0    309
2012-2-20       0    361
2012-2-21       0    394
2012-2-22       0    381
2012-2-23       0    374
2012-2-24       0    369
2012-2-25       0    369
2012-2-26       0    297
2012-2-27       0    430
2012-2-28       0    453
2012-2-29       0    412
2012-3-1       0    444
2012-3-2       0    443
2012-3-3       0    361
2012-3-4       0    231
2012-3-5       0    410
2012-3-6       0    398
2012-3-7       0    381
2012-3-8       0    444
2012-3-9       0    374
2012-3-10       0    450
2012-3-11       0    224
2012-3-12       0    428
2012-3-13       0    344
2012-3-14       0    415
2012-3-15       0    479
2012-3-16       0    426
2012-3-17       0    404
2012-3-18       0    256
2012-3-19       0    344
2012-3-20       0    347
2012-3-21       0    406
2012-3-22       0    379
2012-3-23       0    377
2012-3-24       0    423
2012-3-25       0    201
2012-3-26       0    278
2012-3-27       0    315
2012-3-28       0    387
2012-3-29       0    363
2012-3-30       0    280
2012-3-31       0    245
2012-4-1       0    176
2012-4-2       0    241
2012-4-3       0    172
2012-4-4       0    180
2012-4-5       0    85
2012-4-6       0    75
2012-4-7       0    116
2012-4-8       0    82
2012-4-9       0    150
2012-4-10       0    255
2012-4-11       0    292
2012-4-12       0    328
2012-4-13       0    504
2012-4-14       0    504
2012-4-15       0    264
2012-4-16       0    373
2012-4-17       0    370
2012-4-18       0    404
2012-4-19       0    384
2012-4-20       0    313
2012-4-21       0    348
2012-4-22       0    300
2012-4-23       0    293
2012-4-24       0    324
2012-4-25       0    307
2012-4-26       0    331
2012-4-27       0    336
2012-4-28       0    336
2012-4-29       0    197
2012-4-30       0    314
2012-5-1       0    253
2012-5-2       0    342
2012-5-3       0    261
2012-5-4       0    299
2012-5-5       0    269
2012-5-6       0    214
2012-5-7       0    279
2012-5-8       0    231
2012-5-9       0    262
2012-5-10       0    259
2012-5-11       0    259
2012-5-12       0    291
2012-5-13       0    214
2012-5-14       0    248
2012-5-15       0    238
2012-5-16       0    45


DATE SMS TOTAL

2012-10-23 0 33
2012-10-24 0 105
2012-10-25 0 194
2012-10-26 0 130
2012-10-27 0 114
2012-10-28 0 80
2012-10-29 0 173
2012-10-30 0 102
2012-10-31 0 117
2012-11-1 0 134
2012-11-2 0 108
2012-11-3 0 122
2012-11-4 0 49
2012-11-5 0 87
2012-11-6 0 83
2012-11-7 0 66
2012-11-8 0 151
2012-11-9 0 162
2012-11-10 0 92
2012-11-11 0 61
2012-11-12 0 65
2012-11-13 0 89
2012-11-14 0 40
2012-11-15 0 81
2012-11-16 0 112

